選手名,出場数,得点数,初出場,最終出場,ポジション
板倉滉,3,0,2019/6/20,2019/9/5,DF
岩田智輝,2,0,2019/6/20,2019/6/24,DF
立田悠悟,1,0,2019/6/20,2019/6/20,DF
安部裕葵,3,0,2019/6/17,2019/6/24,MF
上田綺世,3,0,2019/6/17,2019/6/24,FW
大迫敬介,1,0,2019/6/17,2019/6/17,GK
杉岡大暉,3,0,2019/6/17,2019/6/24,DF
中山雄太,1,0,2019/6/17,2019/6/17,MF
原輝綺,1,0,2019/6/17,2019/6/17,DF
前田大然,2,0,2019/6/17,2019/6/24,FW
三好康児,3,2,2019/6/17,2019/6/24,MF
久保建英,7,0,2019/6/9,2019/10/15,MF
橋本拳人,5,0,2019/3/26,2019/10/15,MF
畠中槙之輔,3,0,2019/3/26,2019/6/9,DF
安西幸輝,4,0,2019/3/22,2019/10/10,DF
鎌田大地,4,1,2019/3/22,2019/10/15,FW
鈴木武蔵,3,0,2019/3/22,2019/9/10,FW
山中亮輔,2,1,2018/11/20,2019/6/9,DF
シュミット・ダニエル,5,0,2018/11/16,2019/6/9,GK
北川航也,8,0,2018/10/12,2019/1/24,"FW,MF"
冨安健洋,18,1,2018/10/12,2019/10/10,"DF,MF"
守田英正,3,0,2018/9/11,2019/6/5,MF
天野純,1,0,2018/9/11,2018/9/11,MF
堂安律,18,3,2018/9/11,2019/10/15,MF
佐々木翔,6,0,2018/9/11,2019年3月26日  ,DF
中島翔哉,17,5,2018/3/23,2019/10/15,"FW,MF"
宇賀神友弥,1,0,2018/3/23,2018/3/23,DF
三竿健斗,6,0,2017/12/16,2018/11/20,MF
土居聖真,2,0,2017/12/12,2017/12/16,MF
山本脩斗,1,0,2017/12/12,2017/12/12,DF
三浦弦太,7,0,2017/12/12,2019/3/26,DF
植田直通,9,0,2017/12/12,2019/10/15,DF
阿部浩之,3,0,2017/12/9,2017/12/16,FW
伊東純也,16,2,2017/12/9,2019/10/10,"FW,MF"
室屋成,9,0,2017/12/9,2019/6/9,DF
中村航輔,4,0,2017/12/9,2018/6/12,GK
長澤和輝,1,0,2017/11/14,2017/11/14,MF
車屋紳太郎,4,0,2017/10/10,2018/9/11,DF
杉本健勇,8,1,2017/9/5,2018/11/20,FW
井手口陽介,12,2,2017/6/7,2018/5/30,MF
永木亮太,1,0,2016/11/11,2016/11/11,MF
久保裕也,13,2,2016/11/11,2018/3/27,FW
丸山祐市,2,0,2016/10/11,2016/11/11,DF
大島僚太,5,0,2016/9/1,2018/6/8,MF
小林祐希,8,1,2016/6/7,2019/6/9,MF
南野拓実,21,10,2015/10/13,2019/10/15,"FW,MF"
東口順昭,8,0,2015/8/9,2019/3/22,GK
丹羽大輝,2,0,2015/8/9,2015/10/13,DF
米倉恒貴,2,0,2015/8/9,2015/10/13,DF
倉田秋,9,2,2015/8/9,2017/12/16,MF
藤田直之,1,0,2015/8/5,2015/8/5,MF
遠藤航,21,1,2015/8/2,2019/10/10,MF
武藤雄樹,2,2,2015/8/2,2015/8/9,MF
浅野拓磨,19,4,2015/8/2,2019/10/15,FW
谷口彰悟,3,0,2015/6/11,2017/12/9,MF
昌子源,18,1,2015/3/31,2019/6/9,DF
藤春廣輝,3,0,2015/3/27,2015/11/17,DF
宇佐美貴史,27,3,2015/3/27,2019/3/26,FW
川又堅碁,9,1,2015/3/27,2018/10/12,FW
塩谷司,7,1,2014/10/10,2019/2/1,DF
田口泰士,3,0,2014/10/10,2014/11/14,MF
小林悠,14,2,2014/10/10,2018/9/11,FW
柴崎岳,43,3,2014/9/9,2019/10/15,MF
坂井達弥,1,0,2014/9/5,2014/9/5,DF
森岡亮太,5,0,2014/9/5,2018/3/23,MF
皆川佑介,1,0,2014/9/5,2014/9/5,FW
武藤嘉紀,29,3,2014/9/5,2019/2/1,FW
鈴木大輔,2,0,2013/7/25,2014/10/14,DF
千葉和彦,1,0,2013/7/25,2013/7/25,DF
扇原貴宏,1,0,2013/7/25,2013/7/25,"MF,DF"
山田大記,2,0,2013/7/25,2013/7/28,MF
青山敏弘,12,1,2013/7/21,2019/1/17,MF
高萩洋次郎,3,0,2013/7/21,2017/12/9,MF
森重真人,41,2,2013/7/21,2017/3/28,"MF, DF"
山口蛍,46,2,2013/7/21,2019/3/22,MF
大迫勇也,45,15,2013/7/21,2019/9/10,FW
柿谷曜一朗,18,5,2013/7/21,2014/10/14,FW
工藤壮人,4,2,2013/7/21,2013/9/6,FW
齋藤学,6,1,2013/7/21,2016/11/11,"FW, MF"
豊田陽平,8,1,2013/7/21,2015/1/23,FW
大津祐樹,2,0,2013/2/6,2013/3/22,"FW, MF"
酒井高徳,42,0,2012/9/6,2018/6/28,DF
酒井宏樹,60,1,2012/5/23,2019/10/15,DF
高橋秀人,7,0,2012/5/23,2013/7/25,MF
宮市亮,2,0,2012/5/23,2012/10/16,FW
近藤直也,1,0,2012/2/24,2012/2/24,DF
増田誓志,1,0,2012/2/24,2012/2/24,MF
田中順也,4,0,2012/2/24,2014/10/14,FW
原口元気,51,10,2011/10/7,2019/10/10,"FW, MF"
ハーフナー・マイク,18,4,2011/9/2,2016/3/24,FW
清武弘嗣,43,5,2011/8/10,2017/3/28,"FW, MF"
森脇良太,3,0,2011/6/1,2013/7/25,DF
西大伍,2,0,2011/6/1,2019/3/26,MF
伊野波雅彦,21,1,2011/1/17,2014/5/27,DF
本田拓也,2,0,2011/1/17,2011/1/25,MF
李忠成,11,2,2011/1/9,2012/2/29,FW
関口訓充,3,0,2010/10/8,2011/6/7,FW
永田充,2,0,2010/9/7,2011/1/21,DF
細貝萌,30,1,2010/9/4,2014/10/14,MF
権田修一,15,0,2010/1/6,2019/10/15,GK
太田宏介,7,0,2010/1/6,2015/8/5,DF
菊地直哉,1,0,2010/1/6,2010/1/6,DF
槙野智章,38,4,2010/1/6,2019/1/17,DF
吉田麻也,99,11,2010/1/6,2019/10/15,DF
柏木陽介,11,0,2010/1/6,2016/10/6,MF
山村和也,1,0,2010/1/6,2010/1/6,"MF, DF"
米本拓司,1,0,2010/1/6,2010/1/6,MF
永井謙佑,10,3,2010/1/6,2019/10/15,FW
平山相太,4,3,2010/1/6,2010/2/11,FW
渡邉千真,1,0,2010/1/6,2010/1/6,FW
岩政大樹,8,0,2009/10/10,2011/1/29,DF
森本貴幸,10,3,2009/10/10,2012/5/23,FW
西川周作,31,0,2009/10/8,2016/11/15,GK
徳永悠平,9,0,2009/10/8,2013/7/28,DF
山口智,2,0,2009/5/27,2009/5/31,DF
