チーム名,年,平均観客数
コンサドーレ札幌,2011,10482 
ベガルタ仙台,2011,15656 
モンテディオ山形,2011,9325 
鹿島アントラーズ,2011,16156 
浦和レッズ,2011,33910 
大宮アルディージャ,2011,9099 
柏レイソル,2011,11917 
ＦＣ東京,2011,17562 
川崎フロンターレ,2011,17340 
横浜Ｆ・マリノス,2011,21038 
湘南ベルマーレ,2011,6943 
ヴァンフォーレ甲府,2011,12106 
アルビレックス新潟,2011,26049 
清水エスパルス,2011,15801 
ジュビロ磐田,2011,11796 
名古屋グランパス,2011,16741 
ガンバ大阪,2011,16411 
セレッソ大阪,2011,14145 
ヴィッセル神戸,2011,13233 
サンフレッチェ広島,2011,13203 
アビスパ福岡,2011,10415 
サガン鳥栖,2011,7731 
大分トリニータ,2011,8779 
水戸ホーリーホック,2011,3349 
栃木ＳＣ,2011,4939 
ザスパ草津,2011,3211 
ジェフユナイテッド千葉,2011,9680 
東京ヴェルディ,2011,5710 
ＦＣ町田ゼルビア,2011,
横浜ＦＣ,2011,5770 
松本山雅ＦＣ,2011,
カターレ富山,2011,3275 
ＦＣ岐阜,2011,4120 
京都サンガF.C.,2011,6294 
ガイナーレ鳥取,2011,3692 
ファジアーノ岡山,2011,7258 
徳島ヴォルティス,2011,5207 
愛媛ＦＣ,2011,3475 
ギラヴァンツ北九州,2011,4051 
Ｖ・ファーレン長崎,2011,
ロアッソ熊本,2011,6928 
コンサドーレ札幌,2012,12008 
ベガルタ仙台,2012,16600 
モンテディオ山形,2012,7355 
鹿島アントラーズ,2012,15381 
浦和レッズ,2012,36634 
大宮アルディージャ,2012,10637 
柏レイソル,2012,13768 
ＦＣ東京,2012,23955 
川崎フロンターレ,2012,17807 
横浜Ｆ・マリノス,2012,22946 
湘南ベルマーレ,2012,6852 
ヴァンフォーレ甲府,2012,10407 
アルビレックス新潟,2012,25018 
清水エスパルス,2012,15121 
ジュビロ磐田,2012,13122 
名古屋グランパス,2012,17155 
ガンバ大阪,2012,14778 
セレッソ大阪,2012,16913 
ヴィッセル神戸,2012,14638 
サンフレッチェ広島,2012,17721 
アビスパ福岡,2012,5586 
サガン鳥栖,2012,11991 
大分トリニータ,2012,9721 
水戸ホーリーホック,2012,3973 
栃木ＳＣ,2012,3850 
ザスパ草津,2012,3341 
ジェフユナイテッド千葉,2012,9281 
東京ヴェルディ,2012,5341 
ＦＣ町田ゼルビア,2012,3627 
横浜ＦＣ,2012,6039 
松本山雅ＦＣ,2012,9531 
カターレ富山,2012,3324 
ＦＣ岐阜,2012,4270 
京都サンガF.C.,2012,7273 
ガイナーレ鳥取,2012,3133 
ファジアーノ岡山,2012,7985 
徳島ヴォルティス,2012,3991 
愛媛ＦＣ,2012,3629 
ギラヴァンツ北九州,2012,3346 
Ｖ・ファーレン長崎,2012,
ロアッソ熊本,2012,5855 
コンサドーレ札幌,2013,10075 
ベガルタ仙台,2013,14866 
モンテディオ山形,2013,7020 
鹿島アントラーズ,2013,16419 
浦和レッズ,2013,37100 
大宮アルディージャ,2013,11138 
柏レイソル,2013,12553 
ＦＣ東京,2013,25073 
川崎フロンターレ,2013,16644 
横浜Ｆ・マリノス,2013,27496 
湘南ベルマーレ,2013,9911 
ヴァンフォーレ甲府,2013,12614 
